Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,,,Tuesday 11 August,,,
ETh1,Dance,22:30 - 00:00,berlioz - 0:00,,ATh1,Dance,00:00 - 02:00,Tiga,,GTh1,Dance,00:15 - 02:00,East Forest,,PTh1,Digital Space,23:15 - 01:15,Amélie Ravalec & Vincent Ravalec - SOLSTICE/ SUMARSÓLSTÖÐUR,,CTh1,Cosmic Space,18:45 - 19:30,Tina Rodriguez - Interstellar Transmissions,,STh1,Cosmic Space,23:00 - 00:00,Högni - Secret Set (Pending),,,,,,,YTh1,Cosmic Space,09:15 - 10:45,Marisa Radha Weppner - Satchitananda Vinyasa,,KTh1,Dance,14:00 - 15:00,Lara Matossian - Robo and Me- Interactive Storytelling Experience (Suitable for a younger audience. This is the one with the robot puppet and plushies.) (Pending),,,,,
ETh2,Dance,21:00 - 22:30,Kenny Dope,,ATh2,Dance,22:30 - 00:00,Art Department,,GTh2,Dance,23:00 - 00:00,Ruby Chase,,PTh2,Dance,22:00 - 23:00,"Allen Hulsey, Vincent Bruneau (Allen Hulsey, Vincent Bruneau)",,CTh2,Cosmic Space,17:00 - 18:30,CEREMONY: TEMPLE OF THE BIRD TRIBES,,STh2,Dance,21:00 - 23:00,Tao Txana - Ceremonial Concert,,,,,,,YTh2,Cosmic Space,08:15 - 09:15,The Blue Lions - Morning Meditation,,,,,,,,,,
ETh3,Dance,20:30 - 21:00,Ella Knight,,ATh3,Dance,21:00 - 22:30,Luca Donzelli,,GTh3,Dance,21:40 - 22:50,Macro/micro,,PTh3,Dance,20:30 - 21:30,Reggie Watts,,CTh3,Cosmic Space,15:30 - 16:30,Gudrun Bergmann - Iceland: The magic in the land,,STh3,Cosmic Space,20:00 - 21:00,The Blue Lions - Fire Puja,,,,,,,,,,,,,,,,,,,,
ETh4,Dance,18:45 - 20:30,Ryan Hope,,ATh4,Dance,19:30 - 21:00,Nitin,,GTh4,Dance,20:30 - 21:30,TRPTYCH,,PTh4,Community Space,19:30 - 19:55,Vincent Bruneau - Magic,,CTh4,Cosmic Space,14:00 - 15:30,"Family Constelations (Atma Silvia Bök, Illi Adato)",,,,,,,,,,,,,,,,,,,,,,,,,
ETh5,Dance,18:00 - 18:35,Gisli Palmi,,ATh5,Dance,18:00 - 19:30,CiCi,,GTh5,Dance,19:15 - 20:15,Liam Bongo,,PTh5,Dance,18:45 - 19:15,Blankiflúr,,CTh5,Cosmic Space,13:00 - 14:00,Júlía Óttarsdóttir - Sound Healing,,,,,,,,,,,,,,,,,,,,,,,,,
ETh6,Dance,16:20 - 17:50,Alex Grey & Allyson Grey,,ATh6,Dance,17:10 - 17:50,Cell7,,GTh6,Dance,18:30 - 19:00,Reorientate - 3:33,,PTh6,Community Space,17:30 - 18:20,"Grow Through Play (Josh Draper, Brent Pella)",,CTh6,Cosmic Space,12:00 - 13:00,Shanti Faiia - Breathwork to Connect,,,,,,,,,,,,,,,,,,,,,,,,,
ETh7,Dance,13:30 - 14:40,Hjaltalín,,ATh7,Dance,16:00 - 16:30,Davíð Svanur,,GTh7,Digital Space,17:15 - 18:15,Him Gone Ape,,PTh7,Outer Space,16:45 - 17:10,"Dr. Robin George Andrews - Lunacy: The Explosive Past, and Future, of Earth’s Strange Moon",,CTh7,Cosmic Space,11:00 - 12:00,Ishkayah - Attuning the Light Body: DNA Light Activation and Sound Journey,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ATh8,Community Space,15:00 - 15:25,Lindsay Brandon - Permaculture: Weaving people back to place.,,GTh8,Digital Space,16:00 - 16:45,Parag Bhandari - The Economy Is Being Redesigned: Building Systems That Fund What Matters,,PTh8,Outer Space,16:15 - 16:40,Katy Bohinc - A Place in Time and Space: Astrology as Data Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ATh9,Community Space,14:30 - 14:55,Joycelyn Longdon - Justice-led Conservation Technology,,GTh9,Digital Space,15:30 - 15:55,Lambert Hogenhout - Tech and Happiness: developing a personal and collective strategy,,PTh9,Outer Space,15:45 - 16:10,Ebtesam - The Language of the Gods: Astrology in Ancient Egyptian Religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ATh10,Community Space,14:00 - 14:25,Tucker Garrison - Soil & Soul: Rewilding the Mind and the Plate,,GTh10,Inner Space,14:45 - 15:10,Amanda Gregory - Immersive Work Inspired by the NOW Hypothesis.,,PTh10,Digital Space,15:00 - 15:25,Katia Yakovleva - Community Builds the New World: From Pop-up Cities Across the World to Frontier Residency in San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ATh11,Community Space,13:30 - 13:55,Taylor Bright - Fungi: the cryptic beings that shape our world,,GTh11,Inner Space,14:15 - 14:40,Jonathan Schooler - The kite of consciousness and other metaphors of the mind,,PTh11,Digital Space,14:30 - 14:55,Moli G.ott. - AI is an Ethical Duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ATh12,Community Space,12:30 - 13:15,"Gathers Gathering Panel (Chris Deckker, Fred Olafsson, Isis Indriya, Mitch Morales, Rechulski)",,GTh12,Inner Space,13:45 - 14:10,Aneil Mallavarapu - The End of Materialism,,PTh12,Digital Space,14:00 - 14:25,Alex & Jennifer Moscow - The Vision Amplifier Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ATh13,Community Space,12:00 - 12:25,Steven Blumenfeld - How Burning Man Trained Me to be an Alien,,GTh13,Inner Space,13:15 - 13:40,Dr. Jordan Amadio - The Future of the Human Brain,,PTh13,Outer Space,13:15 - 13:40,SciArt Exchange - Design your Habitat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ATh14,Community Space,11:30 - 11:55,Tony Cho - Future of Cities,,GTh14,Inner Space,12:45 - 13:10,"Tim Mullen - Past, Present, and Future of Neurotechnology",,PTh14,Outer Space,12:15 - 13:05,"SciArt Exchange: How Art & Science Shape Life in Extreme Places (Bryant Maxwell, Ben Haldeman, Dr. Sian Proctor, Richelle Ellis)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ATh15,Community Space,11:00 - 11:25,Michael Zuckerman - Refugee Cities: From AID to Investment,,GTh15,Inner Space,12:00 - 12:25,Dr. Ben Rein - Why Brains need friends,,PTh15,Community Space,11:00 - 11:50,Telamon Ardavanis - Edge City: Community Lightning Talks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,GTh16,Inner Space,11:00 - 11:50,Cynthia Cramblett & Benjamin Moore - The God Molecule & Sacred Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Friday 14 August,,,,,Friday 14 August,,,,,Friday 14 August,,,,,Friday 14 August,,,,,Friday 14 August,,,,,Friday 14 August,,,,,Friday 14 August,,,,,Friday 14 August,,,,,Friday 14 August,,,,,Friday 14 August,,,
